,geneid,chr,left,right
41743,cg02035330,19,40728227,40728228
41748,cg02035565,15,73001506,73001507
41754,cg02035751,1,204795722,204795723
41768,cg02036581,19,1218269,1218270
41769,cg02036826,1,40494082,40494083
41772,cg02036950,21,45787009,45787010
41786,cg02038173,21,33774571,33774572
41788,cg02038233,15,43243316,43243317
41791,cg02038418,15,37746174,37746175
41793,cg02038558,15,75684261,75684262
41799,cg02039214,15,86322699,86322700
41804,cg02039370,15,29946258,29946259
41812,cg02039712,15,63212927,63212928
41822,cg02040583,15,46410410,46410411
41834,cg02041547,1,84537493,84537494
41841,cg02041944,1,6228857,6228858
41847,cg02042310,1,46713007,46713008
41869,cg02043172,15,39608013,39608014
41877,cg02043651,19,3507970,3507971
41882,cg02043895,21,43660125,43660126
41893,cg02044320,1,53474841,53474842
41895,cg02044337,19,54962428,54962429
41912,cg02045294,19,53915626,53915627
41925,cg02045981,21,44707071,44707072
41947,cg02046941,19,11568472,11568473
41964,cg02047702,1,37792409,37792410
41982,cg02048674,19,54683329,54683330
41990,cg02049180,1,155094826,155094827
42003,cg02049548,1,200065082,200065083
42007,cg02049829,1,110456523,110456524
42019,cg02050181,1,52117437,52117438
42032,cg02050917,1,2163431,2163432
42034,cg02050973,1,1842098,1842099
42036,cg02050986,15,43195866,43195867
42041,cg02051545,1,238231378,238231379
42042,cg02051553,1,9967106,9967107
42043,cg02051562,1,181883073,181883074
42047,cg02051805,1,154575222,154575223
42053,cg02051981,1,174698785,174698786
42059,cg02052265,1,245778733,245778734
42067,cg02052548,1,172947209,172947210
42068,cg02052721,1,23391126,23391127
42076,cg02052894,1,27539999,27540000
42086,cg02053132,1,17547451,17547452
42094,cg02053477,1,22488487,22488488
42100,cg02053850,1,200879256,200879257
42104,cg02054059,1,243385440,243385441
42112,cg02054457,1,173950594,173950595
42119,cg02054568,1,150819720,150819721
42124,cg02054724,15,86954671,86954672
42125,cg02054776,1,163592969,163592970
42130,cg02055255,1,10649315,10649316
42160,cg02056921,1,891755,891756
42163,cg02057063,1,114155965,114155966
42174,cg02057463,21,41711792,41711793
42184,cg02057755,1,48771410,48771411
42188,cg02057833,1,226938869,226938870
42195,cg02058215,1,57899213,57899214
42206,cg02058628,1,2154402,2154403
42208,cg02058715,1,226718531,226718532
42214,cg02058944,1,19059997,19059998
42220,cg02059080,19,48816506,48816507
42230,cg02059391,1,42573603,42573604
42234,cg02059515,15,81527200,81527201
42248,cg02059928,15,55518400,55518401
42256,cg02060408,1,149165287,149165288
42259,cg02060465,1,151208351,151208352
42265,cg02060627,1,22250999,22251000
42266,cg02060639,19,40223479,40223480
42278,cg02061007,1,23310674,23310675
42288,cg02061431,1,91923137,91923138
42289,cg02061553,1,3359970,3359971
42293,cg02061705,15,50869769,50869770
42295,cg02061757,1,3337006,3337007
42301,cg02061956,1,145164171,145164172
42311,cg02062404,1,226362005,226362006
42318,cg02062816,1,161433573,161433574
42322,cg02063165,1,147561012,147561013
42332,cg02063551,15,73103009,73103010
42333,cg02063560,1,61892993,61892994
42334,cg02063695,1,16885155,16885156
42336,cg02063759,1,119344818,119344819
42346,cg02064080,19,57731346,57731347
42353,cg02064300,1,5976388,5976389
42360,cg02064442,1,6448906,6448907
42361,cg02064499,15,58072526,58072527
42366,cg02064740,1,149413526,149413527
42369,cg02064848,1,246789463,246789464
42376,cg02065192,1,6344001,6344002
42385,cg02065717,1,101210027,101210028
42388,cg02065795,15,62460508,62460509
42393,cg02066222,1,114156211,114156212
42397,cg02066441,1,17731175,17731176
42401,cg02066569,15,83298932,83298933
42404,cg02066621,15,71446992,71446993
42407,cg02066681,21,45648228,45648229
42409,cg02066716,1,2101866,2101867
42413,cg02066936,1,54581236,54581237
42417,cg02067098,1,3185430,3185431
42424,cg02067431,1,202755639,202755640
42427,cg02067580,1,151873286,151873287
42444,cg02068166,15,60246033,60246034
42445,cg02068169,1,154942186,154942187
42448,cg02068237,1,1463182,1463183
42451,cg02068356,1,63970066,63970067
42457,cg02068538,1,154476023,154476024
42466,cg02068989,1,10381526,10381527
42473,cg02069519,1,51757691,51757692
42479,cg02069715,15,24798708,24798709
42483,cg02069772,1,153195941,153195942
42498,cg02070740,1,145230538,145230539
42513,cg02071276,1,222370612,222370613
42516,cg02071305,15,38973265,38973266
42518,cg02071398,21,33936498,33936499
42522,cg02071454,1,211513105,211513106
42528,cg02071670,15,87239922,87239923
42544,cg02072322,1,24342792,24342793
42546,cg02072376,1,151873261,151873262
42551,cg02072495,15,58476577,58476578
42558,cg02072796,1,84859976,84859977
42563,cg02072896,1,3320997,3320998
42566,cg02072975,1,45022128,45022129
42568,cg02073054,1,205067380,205067381
42570,cg02073224,1,3448164,3448165
42572,cg02073304,1,33230087,33230088
42573,cg02073318,1,41480668,41480669
42576,cg02073465,15,57691301,57691302
42579,cg02073525,15,76343478,76343479
42587,cg02073887,15,94332855,94332856
42595,cg02074274,21,44002759,44002760
42596,cg02074316,15,91948559,91948560
42613,cg02075221,19,56068451,56068452
42621,cg02075570,1,203916472,203916473
42628,cg02076020,1,200246561,200246562
42631,cg02076378,19,7583739,7583740
42632,cg02076414,1,47552508,47552509
42643,cg02076826,15,59264591,59264592
42644,cg02076848,1,110948629,110948630
42650,cg02077084,1,246616564,246616565
42653,cg02077165,1,28113844,28113845
42659,cg02077472,1,63312461,63312462
42663,cg02077561,1,6193550,6193551
42666,cg02077669,1,66503112,66503113
42668,cg02077702,15,72252941,72252942
42670,cg02077793,19,10844098,10844099
42671,cg02077977,1,229443247,229443248
42676,cg02078356,1,32311494,32311495
42680,cg02078520,1,84716886,84716887
42684,cg02078626,1,43835846,43835847
42695,cg02079122,1,238329556,238329557
42701,cg02079421,21,46675973,46675974
42703,cg02079463,1,238941569,238941570
42705,cg02079584,15,72315772,72315773
42712,cg02079931,1,52936767,52936768
42713,cg02079933,1,165866255,165866256
42717,cg02080152,1,55740266,55740267
42723,cg02080641,1,99884537,99884538
42726,cg02080857,1,85051911,85051912
42730,cg02081018,21,37367039,37367040
42742,cg02081327,1,2517116,2517117
42743,cg02081364,1,245334174,245334175
42749,cg02081733,15,65907466,65907467
42755,cg02081976,1,177529187,177529188
42756,cg02082083,1,20269147,20269148
42763,cg02082462,19,799001,799002
42775,cg02083151,1,159380749,159380750
42776,cg02083189,1,100276401,100276402
42787,cg02083428,1,25101521,25101522
42789,cg02083528,1,78053438,78053439
42790,cg02083536,1,2435216,2435217
42796,cg02083836,1,87389938,87389939
42801,cg02084087,1,6448636,6448637
42815,cg02084808,1,170679869,170679870
42830,cg02085276,1,220830061,220830062
42833,cg02085507,19,6690192,6690193
42840,cg02085805,1,110328635,110328636
42843,cg02085891,1,9179452,9179453
42852,cg02086195,1,12578819,12578820
42854,cg02086307,1,53163466,53163467
42856,cg02086349,1,148175230,148175231
42864,cg02086690,1,56529338,56529339
42865,cg02086725,1,107924755,107924756
42866,cg02086742,19,755311,755312
42872,cg02086866,1,159759290,159759291
42882,cg02087289,21,44446524,44446525
42887,cg02087416,1,198449411,198449412
42893,cg02087985,1,149932339,149932340
42896,cg02088197,1,147479099,147479100
42898,cg02088292,1,233165774,233165775
42899,cg02088347,1,8846556,8846557
42900,cg02088366,1,218973343,218973344
42906,cg02088626,1,224663045,224663046
42951,cg02091489,19,44266026,44266027
42954,cg02091605,19,1727102,1727103
42966,cg02092181,19,2113766,2113767
42991,cg02093732,15,28304893,28304894
43003,cg02094232,15,90739019,90739020
43050,cg02096502,15,33049376,33049377
43052,cg02096552,1,221234855,221234856
43062,cg02096887,1,10622418,10622419
43064,cg02097014,1,201422997,201422998
43065,cg02097082,19,49198892,49198893
43066,cg02097120,1,152759576,152759577
43069,cg02097190,1,113193639,113193640
43073,cg02097309,19,13127390,13127391
43077,cg02097443,1,20916914,20916915
43083,cg02097636,19,47498184,47498185
43088,cg02097890,1,231074109,231074110
43100,cg02098619,1,8612359,8612360
43104,cg02098923,1,166056270,166056271
43105,cg02099053,1,110682039,110682040
43110,cg02099313,1,229181579,229181580
43119,cg02099814,1,77520778,77520779
43126,cg02100343,1,31311104,31311105
43127,cg02100365,1,92535544,92535545
43130,cg02100397,19,597890,597891
43135,cg02100602,21,33318535,33318536
43136,cg02100604,1,178278895,178278896
43139,cg02100819,19,33976351,33976352
43145,cg02100997,1,29458440,29458441
43157,cg02101693,1,11917120,11917121
43162,cg02101812,1,33219676,33219677
43168,cg02102020,1,175417412,175417413
43176,cg02102490,15,27771300,27771301
43193,cg02103362,1,5854482,5854483
43199,cg02103822,1,145712953,145712954
43205,cg02103924,1,110474380,110474381
43206,cg02103935,1,89361399,89361400
43214,cg02104434,1,245761029,245761030
43215,cg02104456,15,81517487,81517488
43217,cg02104648,15,41908732,41908733
43221,cg02104952,1,199748103,199748104
43226,cg02105034,1,181708488,181708489
43239,cg02105458,15,91454052,91454053
43245,cg02105641,1,223891203,223891204
43246,cg02105666,1,989587,989588
43249,cg02105856,1,205186407,205186408
43250,cg02106043,1,159841943,159841944
43258,cg02106306,15,29407582,29407583
43261,cg02106385,1,35974926,35974927
43268,cg02106822,15,19975765,19975766
43269,cg02106828,1,235025847,235025848
43273,cg02106978,19,60819772,60819773
43274,cg02107110,1,109315378,109315379
43276,cg02107173,1,89528618,89528619
43277,cg02107240,15,23529751,23529752
43278,cg02107269,1,27120725,27120726
43280,cg02107304,1,27565935,27565936
43285,cg02107558,1,1990539,1990540
43290,cg02107844,15,90413840,90413841
43295,cg02108068,19,61518254,61518255
43299,cg02108176,1,21982180,21982181
43303,cg02108436,1,201194421,201194422
43314,cg02109162,15,97463966,97463967
43388,cg02113521,15,20444397,20444398
43403,cg02114786,21,45118100,45118101
43415,cg02115218,1,243564711,243564712
43428,cg02115911,21,33317418,33317419
43445,cg02116757,15,69641890,69641891
43456,cg02117102,1,22082816,22082817
43461,cg02117416,1,204164168,204164169
43474,cg02117924,21,45146013,45146014
43476,cg02118194,19,51096378,51096379
43485,cg02118652,1,213807881,213807882
43500,cg02119494,15,67955998,67955999
43501,cg02119577,21,39116944,39116945
43505,cg02119792,21,45835246,45835247
43510,cg02119938,15,76292106,76292107
43518,cg02120470,1,67039717,67039718
43542,cg02121749,15,87241040,87241041
43552,cg02122467,15,40815112,40815113
43576,cg02124149,1,92185595,92185596
43579,cg02124291,19,14800260,14800261
43591,cg02124724,21,45699570,45699571
43595,cg02124835,19,1193098,1193099
43598,cg02124912,1,200358556,200358557
43604,cg02125271,15,22751499,22751500
43609,cg02125528,21,33837426,33837427
43630,cg02126638,15,40628079,40628080
43634,cg02126788,1,116183183,116183184
43641,cg02127209,19,40478801,40478802
43648,cg02127418,1,27156840,27156841
43657,cg02127965,19,49867037,49867038
43669,cg02128244,19,36539848,36539849
43682,cg02128655,19,17047722,17047723
43693,cg02129382,1,169573936,169573937
43728,cg02131465,1,209733920,209733921
43735,cg02131862,21,30576715,30576716
43738,cg02131995,19,40464757,40464758
43768,cg02133098,19,358880,358881
43792,cg02134200,1,152162170,152162171
43797,cg02134594,1,3622573,3622574
43832,cg02136394,19,5736983,5736984
43836,cg02136596,1,1374793,1374794
43858,cg02138082,1,968436,968437
43859,cg02138098,1,2030828,2030829
43862,cg02138218,1,173302125,173302126
43882,cg02139827,21,33326327,33326328
43893,cg02140384,1,61291485,61291486
43911,cg02141814,1,36122317,36122318
43931,cg02143743,15,84871847,84871848
43941,cg02144298,19,38484521,38484522
43943,cg02144389,15,43221577,43221578
43944,cg02144516,1,1301772,1301773
43959,cg02145220,15,77010433,77010434
43962,cg02145411,1,110329548,110329549
43966,cg02145668,1,149567347,149567348
43985,cg02146857,19,18762748,18762749
43994,cg02147126,19,778715,778716
44004,cg02147592,19,4041388,4041389
44028,cg02148612,1,246085439,246085440
44041,cg02149241,21,17809527,17809528
44045,cg02149446,19,52504359,52504360
44052,cg02149773,19,44451175,44451176
44059,cg02150021,15,40019598,40019599
44068,cg02150344,1,221054344,221054345
44080,cg02150709,1,42896509,42896510
44098,cg02151528,1,20860660,20860661
44107,cg02151754,1,200945814,200945815
44116,cg02152120,1,118529363,118529364
44117,cg02152128,1,247095502,247095503
44118,cg02152233,1,29062376,29062377
44119,cg02152265,19,17185656,17185657
44120,cg02152271,15,22750363,22750364
44124,cg02152399,1,27582857,27582858
44125,cg02152417,1,7248932,7248933
44127,cg02152578,1,110328422,110328423
44129,cg02152650,1,54741510,54741511
44131,cg02152968,1,205560836,205560837
44137,cg02153208,15,55376452,55376453
44142,cg02153340,1,153469298,153469299
44144,cg02153358,1,147415974,147415975
44151,cg02153614,1,3558582,3558583
44156,cg02153855,1,10963657,10963658
44163,cg02154252,1,79245120,79245121
44168,cg02154448,1,111761975,111761976
44169,cg02154456,1,233596638,233596639
44181,cg02155184,1,109888764,109888765
44183,cg02155287,1,234259561,234259562
44184,cg02155360,15,81316952,81316953
44187,cg02155528,15,88609720,88609721
44189,cg02155558,15,41409240,41409241
44191,cg02155655,1,53339069,53339070
44196,cg02155829,1,39098071,39098072
44201,cg02155957,1,46703318,46703319
44206,cg02156380,1,179149214,179149215
44207,cg02156570,1,206263104,206263105
44212,cg02156723,1,12023218,12023219
44222,cg02156952,1,199460192,199460193
44223,cg02157002,1,227319814,227319815
44226,cg02157078,1,114690292,114690293
44251,cg02158543,15,22971788,22971789
44255,cg02158815,1,109056054,109056055
44274,cg02159808,21,45532300,45532301
44280,cg02160062,19,1669969,1669970
44288,cg02160627,19,14378447,14378448
44298,cg02161046,1,100276331,100276332
44299,cg02161084,15,71776579,71776580
44300,cg02161115,1,76034961,76034962
44307,cg02161471,19,1808442,1808443
44313,cg02161701,15,88000183,88000184
44319,cg02162069,19,62043946,62043947
44327,cg02162421,1,77455999,77456000
44348,cg02163486,19,3959018,3959019
44367,cg02164516,15,39363392,39363393
44385,cg02165801,1,226810734,226810735
44401,cg02166981,1,213245530,213245531
44427,cg02168186,15,27200783,27200784
44434,cg02168592,1,9338714,9338715
44445,cg02169278,15,67532898,67532899
44452,cg02169446,15,70197248,70197249
44463,cg02169973,19,55675798,55675799
44468,cg02170310,1,201562830,201562831
44484,cg02171545,15,22644459,22644460
44490,cg02171825,1,26390173,26390174
44492,cg02171905,15,64822391,64822392
44502,cg02172381,15,22979643,22979644
44504,cg02172466,1,10630590,10630591
44526,cg02173128,1,6124764,6124765
44533,cg02173484,1,145711792,145711793
44534,cg02173486,15,98700050,98700051
44569,cg02175308,1,109742583,109742584
44573,cg02175578,15,60320794,60320795
44584,cg02176428,19,58388936,58388937
44594,cg02177231,1,119331453,119331454
44596,cg02177391,15,66657688,66657689
44611,cg02178648,1,18836768,18836769
44614,cg02178774,19,19163803,19163804
44670,cg02182127,1,244481837,244481838
44677,cg02182476,19,7444084,7444085
44687,cg02182827,1,51581149,51581150
44690,cg02183105,15,78003199,78003200
44711,cg02184280,19,54646461,54646462
44721,cg02184772,21,45887456,45887457
44753,cg02186782,15,31390109,31390110
44771,cg02187889,1,34401953,34401954
44774,cg02188142,21,14356221,14356222
44796,cg02189597,15,58668363,58668364
44799,cg02189760,19,54534467,54534468
44804,cg02189843,19,10486775,10486776
44805,cg02189888,19,51273905,51273906
44806,cg02189925,1,203357855,203357856
44816,cg02190400,1,148800876,148800877
44823,cg02190636,19,492711,492712
44829,cg02190897,15,75247631,75247632
44832,cg02191044,1,231007613,231007614
44857,cg02192677,1,3545597,3545598
44864,cg02192974,19,55426084,55426085
44865,cg02193146,1,110553780,110553781
44891,cg02194396,19,378162,378163
44897,cg02194789,21,36996348,36996349
44906,cg02195657,1,20489870,20489871
44918,cg02196458,15,88610254,88610255
44920,cg02196619,19,7411090,7411091
44925,cg02196730,15,77975832,77975833
44927,cg02196734,15,72805085,72805086
44939,cg02197293,19,44214998,44214999
44943,cg02197392,19,12910544,12910545
44945,cg02197542,21,45245937,45245938
44948,cg02197629,21,14274719,14274720
44957,cg02198044,15,54073628,54073629
44970,cg02199070,1,69804518,69804519
44993,cg02201071,19,18761568,18761569
45000,cg02201774,19,59064288,59064289
45012,cg02202305,1,154671992,154671993
45016,cg02202484,1,151209312,151209313
45022,cg02202858,1,12001839,12001840
45044,cg02203881,15,40174201,40174202
45074,cg02205443,15,87757785,87757786
45080,cg02206137,15,91396506,91396507
45082,cg02206259,1,229070108,229070109
45092,cg02206861,1,9571532,9571533
45106,cg02207610,19,60320382,60320383
45114,cg02208308,15,99409674,99409675
45117,cg02208504,15,23594012,23594013
45167,cg02211983,1,150353503,150353504
45192,cg02213139,1,85300342,85300343
45219,cg02214632,21,29285397,29285398
45223,cg02214783,1,3678117,3678118
45256,cg02216667,1,160613237,160613238
45277,cg02217814,19,17391319,17391320
45284,cg02218214,1,62835077,62835078
45287,cg02218324,19,51010279,51010280
45292,cg02218768,19,4015604,4015605
45308,cg02219476,15,60902869,60902870
45345,cg02221424,1,27159194,27159195
45346,cg02221471,1,29677638,29677639
45351,cg02221750,19,17254354,17254355
45354,cg02221863,19,53832150,53832151
45361,cg02222250,1,181259795,181259796
45390,cg02223962,1,87369408,87369409
45392,cg02224021,19,787716,787717
45401,cg02224374,19,58158736,58158737
45410,cg02224920,1,1156687,1156688
45471,cg02227904,19,34857395,34857396
45480,cg02228207,1,243065382,243065383
45489,cg02228635,1,93070681,93070682
45493,cg02228815,15,29472423,29472424
45500,cg02229261,19,56914243,56914244
45506,cg02229516,19,13088228,13088229
45514,cg02229993,1,164401323,164401324
45520,cg02230180,1,243092583,243092584
45524,cg02230408,1,2712186,2712187
45545,cg02231729,15,87239615,87239616
45567,cg02232667,1,210863062,210863063
45570,cg02232839,1,154671589,154671590
45571,cg02232840,1,15047943,15047944
45572,cg02232875,1,32417919,32417920
45578,cg02233197,15,49177834,49177835
45583,cg02233414,19,41082957,41082958
45585,cg02233459,1,3450327,3450328
45590,cg02233614,1,205294588,205294589
45601,cg02234314,19,60678036,60678037
45608,cg02234734,1,44654916,44654917
45609,cg02234780,1,93022585,93022586
45610,cg02234820,1,85130915,85130916
45616,cg02235261,1,47466460,47466461
45626,cg02235843,1,169165178,169165179
45638,cg02236668,1,195382464,195382465
45644,cg02236896,1,245235659,245235660
45645,cg02236913,1,19878185,19878186
45649,cg02236998,15,70369260,70369261
45653,cg02237208,1,2240385,2240386
45654,cg02237295,1,23375469,23375470
45655,cg02237319,1,53977089,53977090
45658,cg02237415,15,40611005,40611006
45660,cg02237493,19,21741818,21741819
45664,cg02237734,1,143850420,143850421
45667,cg02237875,1,203477393,203477394
45669,cg02237987,1,155164065,155164066
45675,cg02238362,21,42093471,42093472
45678,cg02238461,1,27858574,27858575
45687,cg02238760,1,32008924,32008925
45690,cg02239021,1,54438021,54438022
45692,cg02239082,19,53664656,53664657
45695,cg02239209,15,74139544,74139545
45700,cg02239565,15,61640660,61640661
45708,cg02239968,15,50877524,50877525
45718,cg02240539,15,78950302,78950303
45719,cg02240622,15,38388759,38388760
45731,cg02241241,21,42512160,42512161
45732,cg02241330,19,14983142,14983143
45736,cg02241397,1,47470668,47470669
45748,cg02242289,1,222870772,222870773
45752,cg02242572,1,27060581,27060582
45757,cg02242975,15,66411822,66411823
45758,cg02242989,15,23698528,23698529
45777,cg02243785,1,82040519,82040520
45800,cg02245004,15,74421942,74421943
45808,cg02245418,1,144321032,144321033
45810,cg02245485,15,81580739,81580740
45813,cg02245566,1,156937241,156937242
45814,cg02245612,19,5244611,5244612
45819,cg02245837,15,23659832,23659833
45834,cg02246427,15,73984510,73984511
45842,cg02246734,19,43586214,43586215
45850,cg02247068,15,39580764,39580765
45862,cg02247561,19,57722770,57722771
45864,cg02247591,19,48671212,48671213
45874,cg02248235,15,99507702,99507703
45886,cg02248826,15,27902441,27902442
45909,cg02250028,15,73562407,73562408
45914,cg02250241,15,73436040,73436041
45919,cg02250353,15,41320530,41320531
45923,cg02250501,15,88495982,88495983
45931,cg02250846,19,23050324,23050325
45932,cg02250900,15,49702687,49702688
45935,cg02251027,19,60720499,60720500
45949,cg02251754,1,28444886,28444887
45956,cg02252265,1,9570625,9570626
45964,cg02252828,1,32476190,32476191
45966,cg02252907,19,2102887,2102888
45968,cg02253142,15,49835503,49835504
45970,cg02253236,19,997996,997997
45973,cg02253535,21,43971720,43971721
45977,cg02253701,1,31400201,31400202
45982,cg02254181,1,201539772,201539773
45987,cg02254462,19,15766011,15766012
45993,cg02254649,1,223906732,223906733
46005,cg02255098,19,50009764,50009765
46009,cg02255242,15,31208204,31208205
46015,cg02255609,1,54953857,54953858
46017,cg02255619,19,1497257,1497258
46021,cg02255801,1,3655049,3655050
46029,cg02255983,19,2749801,2749802
46051,cg02257300,19,50565220,50565221
46056,cg02257533,15,41212883,41212884
46059,cg02257675,19,58157832,58157833
46069,cg02257883,15,90293788,90293789
46085,cg02258614,19,43667085,43667086
46088,cg02258724,19,58524389,58524390
46099,cg02259324,15,75898251,75898252
46104,cg02259723,15,70831117,70831118
46106,cg02259760,15,89906287,89906288
46110,cg02259934,19,4517484,4517485
46113,cg02260098,21,43606862,43606863
46115,cg02260353,15,68972296,68972297
46116,cg02260363,15,76419079,76419080
46127,cg02260839,19,58589783,58589784
46132,cg02261174,19,56908538,56908539
46143,cg02261780,19,3048728,3048729
46164,cg02262775,19,1893132,1893133
46166,cg02262866,15,99411216,99411217
46169,cg02262987,19,58137783,58137784
46170,cg02263144,19,8305119,8305120
46186,cg02263999,15,64781486,64781487
46199,cg02264567,1,155130356,155130357
46211,cg02265056,19,53708740,53708741
46215,cg02265318,1,219027162,219027163
46225,cg02265922,1,3467028,3467029
46241,cg02266759,1,53677324,53677325
46244,cg02266849,19,17482073,17482074
46249,cg02267408,1,47687456,47687457
46253,cg02267698,19,7897119,7897120
46270,cg02268424,19,12135129,12135130
46271,cg02268510,19,43373455,43373456
46274,cg02268584,1,226534618,226534619
46279,cg02268750,19,22112815,22112816
46284,cg02269091,15,76249303,76249304
46293,cg02269497,19,56161205,56161206
46298,cg02269943,21,46703403,46703404
46301,cg02269984,15,58217098,58217099
46343,cg02272429,15,23307137,23307138
46350,cg02272599,19,11128029,11128030
46354,cg02272751,19,38574688,38574689
46355,cg02272795,19,15140244,15140245
46365,cg02273146,1,24842205,24842206
46373,cg02273617,15,65904640,65904641
46379,cg02273797,1,32963740,32963741
46383,cg02273903,15,78859988,78859989
46391,cg02274263,15,22968879,22968880
46400,cg02274788,1,68005045,68005046
46401,cg02274869,19,11645955,11645956
46403,cg02274974,1,245636414,245636415
46405,cg02275014,1,109448649,109448650
46409,cg02275084,1,7454306,7454307
46412,cg02275243,1,5843101,5843102
46414,cg02275294,1,177529085,177529086
46415,cg02275359,19,41411559,41411560
46417,cg02275396,19,15415549,15415550
46420,cg02275620,1,52643243,52643244
46422,cg02275713,19,54096065,54096066
46429,cg02275930,1,2361914,2361915
46432,cg02276073,15,98916423,98916424
46436,cg02276263,15,38569071,38569072
46437,cg02276269,1,159388780,159388781
46439,cg02276314,1,9223691,9223692
46442,cg02276490,1,32632100,32632101
46444,cg02276614,19,60529193,60529194
46447,cg02276695,19,19635628,19635629
46448,cg02276763,1,159411531,159411532
46452,cg02276822,1,3549557,3549558
46459,cg02276973,15,88411490,88411491
46460,cg02276974,15,76421290,76421291
46462,cg02277326,15,26031042,26031043
46463,cg02277383,19,8335166,8335167
46470,cg02277646,1,144101672,144101673
46471,cg02277710,1,27804090,27804091
46473,cg02277850,1,7764980,7764981
46481,cg02278114,19,56149647,56149648
46484,cg02278307,19,14662245,14662246
46486,cg02278335,15,87712980,87712981
46487,cg02278414,1,21629768,21629769
46489,cg02278499,15,94676834,94676835
46491,cg02278594,15,33172532,33172533
46494,cg02278675,15,63690375,63690376
46500,cg02278768,15,87711636,87711637
46501,cg02278841,15,36776152,36776153
46509,cg02279127,19,60266514,60266515
46511,cg02279153,1,176774019,176774020
46517,cg02279471,1,95422618,95422619
46518,cg02279503,1,30146652,30146653
46521,cg02279625,15,76171575,76171576
46526,cg02279891,1,55261892,55261893
46528,cg02279987,1,1171620,1171621
46536,cg02280309,1,153537584,153537585
46538,cg02280483,19,50531957,50531958
46542,cg02280855,1,227760421,227760422
46543,cg02280859,1,1701045,1701046
46544,cg02280893,1,210343605,210343606
46547,cg02280912,19,63091907,63091908
46548,cg02281006,1,9342557,9342558
46549,cg02281038,19,14000137,14000138
46551,cg02281178,1,46371025,46371026
46552,cg02281208,15,24798754,24798755
46554,cg02281446,1,226528630,226528631
46557,cg02281505,1,68281115,68281116
46559,cg02281577,15,87546094,87546095
46561,cg02281680,15,28962792,28962793
46565,cg02281959,1,67163732,67163733
46566,cg02281970,19,1222307,1222308
46574,cg02282382,19,37528194,37528195
46588,cg02283353,19,573406,573407
46589,cg02283366,1,63558132,63558133
46598,cg02283691,19,37874366,37874367
46599,cg02283735,1,43784174,43784175
46600,cg02283766,1,117287268,117287269
46612,cg02284278,1,110579393,110579394
46614,cg02284587,1,64743806,64743807
46618,cg02284814,1,200674763,200674764
46621,cg02284900,19,5803498,5803499
46629,cg02285278,19,6468069,6468070
46639,cg02285920,19,17819956,17819957
46648,cg02286329,1,150307515,150307516
46659,cg02286642,19,24061913,24061914
46661,cg02286662,21,42115536,42115537
46663,cg02286665,21,44376748,44376749
46666,cg02286761,19,14176694,14176695
46667,cg02286809,15,99446898,99446899
46668,cg02286819,1,218052188,218052189
46672,cg02286990,1,32438685,32438686
46679,cg02287150,15,93940919,93940920
46685,cg02287573,1,16416675,16416676
46687,cg02287630,1,101134014,101134015
46688,cg02287685,15,74279636,74279637
46692,cg02287918,21,29318828,29318829
46693,cg02287939,15,23577376,23577377
46704,cg02288564,19,54626216,54626217
46709,cg02288770,19,50744703,50744704
46710,cg02288777,1,31883448,31883449
46715,cg02288831,1,241790208,241790209
46717,cg02288964,1,957424,957425
46718,cg02288969,1,170680115,170680116
46721,cg02289040,1,176206169,176206170
46725,cg02289200,1,154351821,154351822
46727,cg02289321,1,153013592,153013593
46730,cg02289343,1,9054209,9054210
46734,cg02289689,19,40928684,40928685
46736,cg02289741,19,44308180,44308181
46737,cg02289752,1,17870852,17870853
46738,cg02289754,1,46841223,46841224
46742,cg02290110,19,412808,412809
46743,cg02290168,1,149522595,149522596
46745,cg02290238,1,49015521,49015522
46746,cg02290264,1,242682800,242682801
46750,cg02290550,1,41259904,41259905
46755,cg02290708,21,34669701,34669702
46757,cg02290803,1,40769943,40769944
46758,cg02290823,19,10808236,10808237
46759,cg02290855,1,168330663,168330664
46760,cg02290880,1,204484477,204484478
46764,cg02291011,1,111311660,111311661
46767,cg02291204,1,225573149,225573150
46768,cg02291224,15,67378241,67378242
46772,cg02291424,19,17309344,17309345
46776,cg02291532,15,37662068,37662069
46777,cg02291533,19,41119050,41119051
46778,cg02291556,1,47428727,47428728
46781,cg02291620,1,231431763,231431764
46787,cg02292066,1,2508129,2508130
46788,cg02292129,19,61600819,61600820
46793,cg02292456,15,77638692,77638693
46797,cg02292720,1,91872116,91872117
46806,cg02293212,19,1913588,1913589
46807,cg02293228,19,55914134,55914135
46810,cg02293396,1,2031088,2031089
46811,cg02293410,19,18761282,18761283
46813,cg02293501,1,3936813,3936814
46814,cg02293668,1,152806598,152806599
46816,cg02293766,19,19603514,19603515
46819,cg02293828,1,153213562,153213563
46820,cg02293852,1,29479917,29479918
46831,cg02294281,1,2849494,2849495
46832,cg02294302,1,47678863,47678864
46833,cg02294312,19,15142357,15142358
46839,cg02294687,1,180954232,180954233
46840,cg02294758,1,7633325,7633326
46845,cg02295023,1,164177566,164177567
46859,cg02295527,1,3193629,3193630
46865,cg02295872,1,226198600,226198601
46867,cg02295992,1,203522242,203522243
46875,cg02296583,1,227544782,227544783
46877,cg02296807,19,10518681,10518682
46881,cg02296931,1,1134521,1134522
46882,cg02296992,19,44618604,44618605
46884,cg02297043,1,75363500,75363501
46885,cg02297063,19,1083389,1083390
