,geneid,chr,left,right,symbol,synonyms
6107,ILMN_1708369,19,16333408,16443762,EPS15L1,EPS15R
6111,ILMN_1708398,19,6377376,6377399,MGC34725,
6115,ILMN_1708451,21,37366764,37366813,DSCR5,DCRC-S; DCRC; DSRC; PIGP; PIG-P
6117,ILMN_1708486,19,977298,990060,CNN2,
6122,ILMN_1708529,1,174698930,175078591,PAPPA2,PAPPE; PLAC3; PAPP-A2
6125,ILMN_1708580,1,47421848,47429303,PDZK1IP1,DD96; RP1-18D14.5; SPAP; MAP17
6132,ILMN_1708714,1,26083296,26083345,FLJ32206,MGC138870; FLJ32206; MGC138869
6141,ILMN_1708790,1,8928509,8957733,CA6,MGC21256; GUSTIN
6144,ILMN_1708833,1,157824240,157825284,APCS,PTX2; SAP; MGC88159
6151,ILMN_1708900,19,19091735,19091738,FLJ20422,FLJ39645; FLJ20422; AROS-29
6162,ILMN_1708982,1,156655597,156657280,OR10K2,OR1-4
6164,ILMN_1708987,19,5639274,5639323,SCDR10,SCDR10
6179,ILMN_1709092,21,14567991,14632206,ABCC13,PRED6; C21orf73
6182,ILMN_1709124,19,17295236,17295285,TMEM16H,KIAA1623
6189,ILMN_1709233,1,167747816,167822393,F5,PCCF; factor V; FVL
6194,ILMN_1709257,21,37300733,37313826,DSCR6,RIPPLY3
6196,ILMN_1709267,15,21361547,21364653,MKRN3,MGC88288; ZNF127; ZFP127; D15S9; RNF63
6198,ILMN_1709294,1,37930677,37947978,CDCA8,FLJ12042; FLJ10468; BOR
6206,ILMN_1709399,1,15935396,15940471,SLC25A34,DKFZp781A10161; RP11-169K16.2
6207,ILMN_1709408,1,11008649,11029883,MASP2,sMAP; MASP-2; MAP19
6209,ILMN_1709451,19,59302132,59310867,TFPT,FB1; amida
6211,ILMN_1709472,1,210864439,210866737,FAM71A,RP11-338C15.4; FLJ32796
6215,ILMN_1709484,15,89061583,89159690,BLM,MGC126616; RECQL2; BS; RECQ2; RECQL3
6217,ILMN_1709584,19,12768634,12773694,PRDX2,TDPX1; MGC4104; TSA; PRP; PRX2; NKEFB; PRXII
6219,ILMN_1709605,1,38032361,38045938,MANEAL,RP11-109P14.3; MGC78681; FLJ31434
6229,ILMN_1709681,15,24339786,24767329,GABRB3,MGC9051
6231,ILMN_1709708,1,150914395,150915674,LCE2C,LEP11
6233,ILMN_1709719,1,85052161,85052210,EDG7,RP4-678I3; GPCR; LP-A3; Edg-7; HOFNH30; LPAR3; LPA3
6234,ILMN_1709725,19,44293134,44293183,FLJ16165,PAPL
6254,ILMN_1709860,15,89274414,89298326,UNC45A,FLJ10043; SMAP-1; IRO039700; GC-UNC45
6256,ILMN_1709894,15,63229837,63264616,CLPX,
6257,ILMN_1709907,1,191414825,191422365,B3GALT2,beta3Gal-T2; BETA3GALT2; GLCT2
6259,ILMN_1709937,19,48962525,48977249,KCNN4,KCa3.1; hSK4; IKCA1; hIKCa1; IK1; SK4; KCA4; hKCa4
6260,ILMN_1709953,21,33869653,33882884,DONSON,B17; C21orf60; DKFZP434M035
6261,ILMN_1710000,19,7447761,7459905,PEX11G,MGC4281
6268,ILMN_1710070,15,99661657,99847396,PCSK6,PACE4; SPC4
6273,ILMN_1710170,19,232048,242435,PPAP2C,PAP-2c; PAP2-g; LPP2
6278,ILMN_1710216,15,31945721,32118595,AVEN,PDCD12
6282,ILMN_1710229,19,17972944,17985903,ARRDC2,CLONE24945; PP2703
6289,ILMN_1710315,1,160306205,160604852,NOS1AP,MGC138500; CAPON
6292,ILMN_1710329,15,46218921,46257850,MYEF2,FLJ11213; KIAA1341; MST156; MEF-2; MSTP156; HsT18564; MGC87325
6304,ILMN_1710514,19,49943644,49955141,BCL3,D19S37; BCL4
6308,ILMN_1710543,19,2683525,2691074,SLC39A3,ZIP3
6311,ILMN_1710590,1,20119387,20122697,PLA2G2E,
6312,ILMN_1710598,1,2149994,2229316,SKI,SKV
6314,ILMN_1710606,1,57093065,57156482,C8A,
6316,ILMN_1710622,15,43197005,43197054,NIP,mol; FLJ32334; NUMBIP; NIP
6322,ILMN_1710710,1,159357391,159369102,DEDD,KE05; CASP8IP1; FLDED1; DEDD1; DEFT
6332,ILMN_1710756,1,8843650,8861367,ENO1,MBP-1; MPB1; ENO1L1; PPH; NNE
6339,ILMN_1710923,1,158975701,158991224,SLAMF7,CD319; 19A; CRACC; CS1
6340,ILMN_1710937,1,157236382,157291569,IFI16,IFNGIP1; PYHIN2
6344,ILMN_1710993,1,160610431,160613275,C1orf111,HSD20; RP11-565P22.3
6346,ILMN_1711009,15,72253115,72256266,ISLR,HsT17563; MGC102816
6347,ILMN_1711015,21,43462210,43465982,CRYAA,HSPB4; CRYA1
6348,ILMN_1711021,15,70755522,70755571,HIGD2BP,
6353,ILMN_1711048,1,16140953,16175191,ZBTB17,ZNF60; pHZ-67; ZNF151; MIZ-1
6367,ILMN_1711166,1,3537191,3556504,WDR8,FLJ20430; MGC99569
6368,ILMN_1711170,1,149275658,149288899,BNIPL,BNIPL-2; BNIP-S; BNIPL-1; BNIPL1; BNIPL2; PP753
6369,ILMN_1711171,1,152207003,152213463,CREB3L4,hJAL; CREB4; ATCE1; JAL; CREB3; AIBZIP
6370,ILMN_1711174,1,151270303,151271999,SPRR1B,GADD33; CORNIFIN; SPRR1; MGC61901
6371,ILMN_1711189,1,11049268,11082525,EXOSC10,PMSCL2; PM-Scl; PM/Scl-100; PMSCL; RRP6; p4; Rrp6p; p2; p3
6372,ILMN_1711199,19,58715989,58775335,ZNF331,ZNF361; DKFZp686L0787; RITA; ZNF463
6374,ILMN_1711208,1,109594164,109619901,CELSR2,CDHF10; FLJ42737; Flamingo1; MEGF3; KIAA0279; EGFL2; FLJ34118; FLJ45845; FLJ45143
6378,ILMN_1711254,1,118273914,118304572,WDR3,FLJ12796
6379,ILMN_1711270,19,18962697,19005368,SFRS14,DKFZp779L2418
6381,ILMN_1711275,19,17843782,17865897,SLC5A5,NIS
6384,ILMN_1711289,19,54163195,54188361,GYS1,GYS; GSY
6389,ILMN_1711328,1,37952148,38003411,EPHA10,MGC43817; FLJ33655; FLJ16103
6390,ILMN_1711331,1,240225415,240228998,MAP1LC3C,
6392,ILMN_1711353,19,14799094,14800053,OR7A5,HTPCR2
6393,ILMN_1711357,19,49446158,49471308,ZNF233,FLJ38032
6401,ILMN_1711422,1,891740,900339,PLEKHN1,MGC120616; MGC120613; DKFZP434H2010; RP11-54O7.7
6405,ILMN_1711459,15,41264832,41274685,CCNDBP1,DIP1; GCIP
6406,ILMN_1711470,1,200567409,200577707,UBE2T,PIG50; HSPC150
6410,ILMN_1711493,19,8460941,8473495,PRAM1,MGC39864; PRAM-1
6417,ILMN_1711557,19,14812760,14813689,OR7A10,BC85395_3; OR19-18
6423,ILMN_1711617,19,44510850,44518486,GMFG,MGC126867; GMF-GAMMA
6425,ILMN_1711662,1,236112333,236120558,ZP4,ZBP; ZPB; ZP1
6433,ILMN_1711765,1,149493809,149506579,PSMD4,pUB-R5; Rpn10; AF-1; AF; ASF; MCB1; S5A
6436,ILMN_1711787,19,10457796,10475054,KEAP1,MGC9454; MGC10630; KLHL19; MGC20887; MGC4407; KIAA0132; INrf2; MGC1114
6444,ILMN_1711838,1,108478972,108544497,SLC25A24,DKFZp586G0123; APC1; SCAMC-1
6450,ILMN_1711899,15,58426625,58477477,ANXA2,P36; LPC2D; ANX2L4; ANX2; PAP-IV; CAL1H; LIP2; LPC2
6461,ILMN_1712026,1,245678605,245678654,CIAS1,AII/AVP; AGTAVPRL; PYPAF1; NALP3; MWS; C1orf7; FCAS; FCU
6466,ILMN_1712051,15,82945253,82967951,ZSCAN2,FLJ20595; ZFP29
6470,ILMN_1712075,15,97493060,97493109,DMN,SYN; KIAA0353
6471,ILMN_1712082,15,57691275,57700315,GCNT3,C2/4GnT; GnT-M; C2GnT2; C2GnT-M
6473,ILMN_1712112,21,34820937,34820986,DSCR1,ADAPT78; MCIP1; DSC1; CSP1; RCN1
6475,ILMN_1712128,1,89763050,89836011,LRRC8B,KIAA0231; MGC42220; TA-LRRP
6486,ILMN_1712312,15,63948850,63968846,RAB11A,MGC1490; YL8
6488,ILMN_1712348,15,50200415,50270857,GNB5,FLJ37457; FLJ43714; GB5
6494,ILMN_1712396,15,32832054,32832103,CX36,CX36; MGC138319; MGC138315
6502,ILMN_1712454,1,163779868,163799822,LRRC52,FLJ25811
6503,ILMN_1712456,15,98148812,98148861,DKFZp434I1020,
6504,ILMN_1712457,1,184679347,184696868,PDC,PhLP; PHD; MEKA; PhLOP
6506,ILMN_1712469,15,32458557,32487180,GOLGA8A,GM88
6508,ILMN_1712487,1,204831600,204852527,LGTN,HCA56
6512,ILMN_1712522,19,46951341,46967953,CEACAM6,NCA; CEAL; CD66c
6517,ILMN_1712545,1,151786449,151788358,S100A3,S100E
6529,ILMN_1712636,1,222481662,222584507,NVL,
6535,ILMN_1712707,19,17263941,17275282,ABHD8,FLJ11743; MGC14280; MGC2512
6538,ILMN_1712718,1,218297447,218329814,BPNT1,PIP
6542,ILMN_1712754,19,44082444,44091373,NFKBIB,TRIP9; IKBB
6543,ILMN_1712755,1,46516660,46541625,LRRC41,PP7759; MGC126573; MUF1; RP4-636H5.2; MGC126571
6544,ILMN_1712759,19,40706109,40711093,SBSN,UNQ698; MGC75533
6555,ILMN_1712894,19,53943080,53948612,FUT1,HSC; H; HH
6561,ILMN_1712936,21,33028084,33066040,C21orf66,FLJ90561; BM-020; GCFC
6563,ILMN_1712944,19,3003908,3013964,AES,AES-2; ESP1; GRG5; GRG; TLE5; AES-1
6568,ILMN_1713006,19,482733,493084,CDC34,UBE2R1; UBC3; E2-CDC34
6570,ILMN_1713013,19,45546425,45576230,PLD3,HU-K4
6573,ILMN_1713037,21,44544358,44571687,PFKL,FLJ40909; DKFZp686G1648; PFK-B; FLJ30173; DKFZp686L2097
6580,ILMN_1713161,21,29318809,29348680,USP16,UBP-M
6584,ILMN_1713246,15,83228913,83290033,SLC28A1,HCNT1; CNT1
6586,ILMN_1713266,1,117950127,117972534,FAM46C,FLJ20202
6589,ILMN_1713285,19,52682703,52710309,NAPA,SNAPA
6593,ILMN_1713369,19,54681844,54687370,RPL13A,
6596,ILMN_1713397,19,44384199,44384248,LOC342897,
6601,ILMN_1713454,19,62922932,62930795,ZNF671,FLJ23506
6615,ILMN_1713550,1,200429561,200555512,LGR6,VTS20631; GPCR; FLJ14471
6617,ILMN_1713599,21,37661749,37809550,DYRK1A,HP86; DYRK; DYRK1; MNBH; MNB
6620,ILMN_1713605,15,39596669,39623756,RPAP1,DKFZP727M111; MGC858; FLJ12732; KIAA1403
6623,ILMN_1713636,1,151773699,151775344,S100A6,PRA; CABP; 2A9; 5B10; CACY
6641,ILMN_1713807,1,25816546,25983845,MAN1C1,MAN1A3; pp6318; MAN1C; HMIC
6655,ILMN_1713952,1,199127292,199151486,C1orf106,MGC125608; FLJ10901
6666,ILMN_1714028,21,44902277,44902686,KRTAP12-3,KRTAP12.3
6672,ILMN_1714118,1,27578183,27582457,CD164L2,UNQ6122
6675,ILMN_1714157,1,23994676,23999881,GALE,
6676,ILMN_1714159,1,23283110,23367897,LUZP1,KIAA0601; LUZP
6679,ILMN_1714170,1,9275571,9352175,SPSB1,SSB1; SSB-1
6680,ILMN_1714181,19,47574325,47574374,SBP1,MGC138147; SBP1; FLJ22365
6683,ILMN_1714222,1,170656453,170704590,C1orf105,RP1-106H8.1
6688,ILMN_1714271,1,113064712,113071377,FAM19A3,TAFA3; MGC138473; RP11-426L16.6; TAFA-3
6689,ILMN_1714274,19,63386208,63416739,ZNF274,ZKSCAN19; DKFZp686K08243; FLJ37843; HFB101; ZF2
6695,ILMN_1714349,15,67240027,67351592,GLCE,KIAA0836; HSEPI
6696,ILMN_1714352,19,50978104,50987900,DMWD,DMR-N9; D19S593E; 59
6704,ILMN_1714401,1,149851182,149938183,SNX27,MGC126873; MGC20471; MGC126871; MY014; KIAA0488
6706,ILMN_1714417,1,225124896,225150429,PSEN2,AD3L; STM2; PS2; AD4
6708,ILMN_1714419,19,13854459,13854508,MGC11271,
6710,ILMN_1714433,1,32572028,32574421,MARCKSL1,F52; MACMARCKS; MLP; MLP1; MRP
6711,ILMN_1714438,1,45567501,45578729,MUTYH,hMYH; MYH; MYHbeta
6713,ILMN_1714445,1,44234742,44269721,SLC6A9,GLYT1; DKFZp547A1118
6716,ILMN_1714473,1,23558528,23568944,ZNF436,ZNF; KIAA1710
6719,ILMN_1714489,15,76184046,76210933,CIB2,KIP2
6721,ILMN_1714515,19,44113188,44115497,MRPS12,MPR-S12; MT-RPS12; RPS12; RPSM12; RPMS12
6723,ILMN_1714527,1,7753916,7770120,VAMP3,CEB
6729,ILMN_1714592,1,20788031,20817985,CDA,CDD; hscd
6735,ILMN_1714650,19,43591538,43608785,RASGRP4,
6742,ILMN_1714738,1,41265461,41480375,SCMH1,Scml3
6744,ILMN_1714759,1,222611183,222633777,CNIH4,HSPC163
6748,ILMN_1714817,1,156991230,156992261,OR6K6,OR1-21
6759,ILMN_1714945,19,45914848,45938603,ITPKC,IP3KC
6762,ILMN_1714960,15,65334221,65581193,IQCH,FLJ12476; DKFZp434F2114
6767,ILMN_1714990,1,100425072,100487997,DBT,BCATE2; MSUD2
6768,ILMN_1715013,1,43055363,43083247,ERMAP,SC; MGC118813; PRO2801; MGC118810; MGC118811; MGC118812; RD
6769,ILMN_1715024,21,46432793,46473119,LSS,OSC
6770,ILMN_1715065,19,60844204,60846647,ZNF580,
6771,ILMN_1715068,15,56217700,56265402,AQP9,HsT17287; SSC1
6772,ILMN_1715088,19,54262487,54268010,KCNA7,HAK6; KV1.7
6777,ILMN_1715133,1,183532147,183553091,IVNS1ABP,KIAA0850; DKFZp686K06216; NS1-BP; NS-1; ND1; HSPC068
6779,ILMN_1715173,1,26728836,26774108,RPS6KA1,HU-1; MAPKAPK1A; RSK; S6K-alpha 1; RSK1
6781,ILMN_1715179,15,99639243,99652979,SNRPA1,
6782,ILMN_1715181,19,17972944,17985903,ARRDC2,CLONE24945; PP2703
6786,ILMN_1715214,1,200382764,200397332,PTPN7,BPTP-4; LC-PTP; LPTP; HEPTP; PTPNI
6797,ILMN_1715374,1,155077289,155095290,INSRR,IRR
6800,ILMN_1715392,1,148560642,148592292,PRPF3,HPRP3P; HPRP3; Prp3p; RP18; PRP3
6803,ILMN_1715417,1,167824661,167866004,SELP,CD62P; PSEL; CD62; GRMP; GMP140; FLJ45155; PADGEM
6805,ILMN_1715437,15,38673510,38742173,CASC5,D40; AF15Q14; KIAA1570
6818,ILMN_1715555,19,53825659,53832435,DBP,DABP
6820,ILMN_1715574,1,202031422,202089875,ZC3H11A,DKFZp686F14109; DKFZp686D03108; DKFZp781G2455; ZC3HDC11A; KIAA0663
6829,ILMN_1715647,1,158636988,158665088,VANGL2,MGC119404; LTAP; KIAA1215; LPP1; STBM
6831,ILMN_1715659,19,45577019,45587934,HIPK4,FLJ32818
6839,ILMN_1715684,1,207854843,207892443,LAMB3,LAMNB1
6843,ILMN_1715715,19,38482543,38485460,CEBPA,CEBP; C/EBP-alpha
6844,ILMN_1715718,19,60823976,60824025,LOC147808,MGC75238
6852,ILMN_1715815,15,20444104,20555043,CYFIP1,FLJ45151; SHYC; P140SRA-1
6857,ILMN_1715885,1,114157963,114215857,PTPN22,Lyp1; Lyp2; LYP; PEP; PTPN8
6859,ILMN_1715896,1,153163835,153176108,PMVK,PMKASE; HUMPMKI; PMK; PMKA
6867,ILMN_1715968,19,40921313,40921362,MLL4,MLL2; HRX2; KIAA0304; WBP7; TRX2
6874,ILMN_1716004,1,46578977,46603275,NSUN4,RP4-603I14.2; MGC22960
6877,ILMN_1716053,1,33246173,33275079,AK2,ADK2
6879,ILMN_1716057,1,221966877,222030168,CAPN2,mCANP; FLJ39928; CANPml; CANPL2
6885,ILMN_1716089,19,11136606,11136655,ANKRD25,SIP; MGC119707; MXRA3; FLJ20004; DKFZp434N161; KIAA1518
6887,ILMN_1716105,19,58989080,58989114,NALP12,PAN6; Monarch1; RNO; PYPAF7; NALP12; CLR19.3; RNO2
6899,ILMN_1716259,1,110795272,110801497,PROK1,PK1; PRK1; EGVEGF
6909,ILMN_1716357,15,40427593,40491807,CAPN3,CANP3; MGC14344; p94; LGMD2; MGC10767; CANPL3; MGC11121; MGC4403; LGMD2A; nCL-1
6918,ILMN_1716424,1,199519203,199568738,PKP1,B6P; MGC138829
6920,ILMN_1716446,1,85504052,85516359,BCL10,CARMEN; mE10; CLAP; CIPER; c-E10
6922,ILMN_1716461,19,40307257,40317944,LGI4,LGIL3
6923,ILMN_1716465,1,9979849,9998665,RBP7,MGC70641; CRBPIV; CRBP4
6926,ILMN_1716471,1,151015472,151015828,LCE1F,LEP6
6931,ILMN_1716517,1,43628140,43690891,C1orf84,FLJ34502; RP11-506B15.1
6934,ILMN_1716552,1,223741157,223907468,ENAH,NDPP1; MENA
6935,ILMN_1716553,15,67493742,67532214,KIF23,MKLP-1; CHO1; KNSL5; MKLP1
6937,ILMN_1716583,1,167368399,167603810,NME7,FLJ37194
6938,ILMN_1716591,1,151223181,151224913,SPRR1A,SPRK
6941,ILMN_1716608,1,115630288,115630337,NGFB,NGF; MGC161428; HSAN5; Beta-NGF; MGC161426
6944,ILMN_1716658,19,62523689,62533956,ZNF543,MGC119384; DKFZp434H055; MGC119382
6949,ILMN_1716682,21,39890949,39906618,C21orf88,
6950,ILMN_1716687,15,61121891,61151164,TPM1,TPM1-alpha; HTM-alpha; TPM1-kappa; TMSA; C15orf13
6958,ILMN_1716766,19,38556449,38565431,CEBPG,GPE1BP; IG/EBP-1
6961,ILMN_1716815,19,47701340,47724479,CEACAM1,BGPI; BGP; BGP1
6962,ILMN_1716816,15,40290041,40352930,TMEM87A,DKFZP564G2022
6965,ILMN_1716838,21,46405498,46428773,C21orf56,DKFZp434N0650; MGC99490
6975,ILMN_1716925,15,37679524,37862331,FSIP1,HSD10; FLJ35989
6981,ILMN_1716979,1,110000226,110009647,GSTM4,GSTM4-4; MGC131945; MGC9247; GTM4
6982,ILMN_1716983,19,59776630,59790839,LILRA2,CD85H; LIR-7; LIR7; ILT1
6983,ILMN_1716988,1,239823075,239870324,OPN3,ECPN
6984,ILMN_1716999,19,63237212,63257811,ZSCAN1,MZF-1; FLJ33779
6989,ILMN_1717049,19,9580140,9592899,ZNF561,MGC45408
6993,ILMN_1717064,1,43410613,43449136,WDR65,FLJ32000; RP11-282K6.2
6994,ILMN_1717078,1,15725895,15775174,DNAJC16,RP4-680D5.1; DKFZp781I1547; DKFZp686G1298; DKFZp686N0387; KIAA0962
6995,ILMN_1717099,21,37517598,37562132,DSCR3,DCRA; MGC117385; DSCRA
7013,ILMN_1717278,19,13998501,14003367,RLN3,H3; ZINS4; insl7; RXN3
7018,ILMN_1717327,19,53650578,53661179,KCNJ14,IRK4; KIR2.4; MGC46111
7019,ILMN_1717334,19,6723722,6808371,VAV1,VAV
7028,ILMN_1717468,1,100088228,100162167,AGL,GDE
7038,ILMN_1717593,1,214743211,215377720,ESRRG,DKFZp781L1617; ERR3; KIAA0832; FLJ16023; NR3B3
7041,ILMN_1717636,15,91387641,91433437,RGMA,RGM
7042,ILMN_1717639,21,43659254,43659303,SNF1LK,MSK; SIK
7043,ILMN_1717674,19,38569705,38704641,PEPD,PROLIDASE; MGC10905
7044,ILMN_1717695,19,51234846,51238037,IGFL4,
7053,ILMN_1717757,15,66270098,66285502,CALML4,NY-BR-20; MGC4809
7057,ILMN_1717793,19,43486644,43487486,C19orf33,MGC39135; IMUP-1; H2RSP; IMUP; MGC75180; IMUP-2
7065,ILMN_1717868,21,29350516,29367989,CCT8,D21S246; Cctq; KIAA0002
7066,ILMN_1717877,1,183532147,183553091,IVNS1ABP,FLJ36593; FLJ35593; KIAA0850; FLARA3; FLJ10069; NS1-BP; NS-1; DKFZp686K06216; ND1; HSPC068; FLJ10962; FLJ10411; NS1BP
7075,ILMN_1717934,1,154095924,154121461,SYT11,DKFZp781D015; MGC10881; MGC17226; KIAA0080; SYT12
7076,ILMN_1717935,1,156847020,156923130,SPTA1,EL2
7079,ILMN_1717973,21,44304339,44304388,TMEM1,EHOC-1; MGC126777; EHOC1; GT334
7084,ILMN_1718013,1,1236828,1249909,CPSF3L,RC68; RC-68; INTS11; FLJ13294; CPSF73L; FLJ20542; INT11
7088,ILMN_1718046,15,78483741,78677324,ARNT2,KIAA0307
7091,ILMN_1718070,1,15687322,15723527,CASP9,ICE-LAP6; APAF3; MCH6; CASPASE-9c; APAF-3
7094,ILMN_1718129,15,65622075,65886506,MAP2K5,MAPKK5; HsT17454; PRKMK5; MEK5
7098,ILMN_1718171,19,16547318,16547367,CRSP7,CRSP70; CRSP7; MED26
7104,ILMN_1718207,1,149165512,149203837,SETDB1,KIAA0067; KG1T; ESET
7105,ILMN_1718248,1,195213331,195245429,CFHR5,FHR-5; CFHL5; MGC133240; FLJ10549; FHR5
7109,ILMN_1718268,1,34997929,35001912,GJB4,EKV; MGC21116; CX30.3
7116,ILMN_1718303,19,50041233,50084325,PVRL2,PVRR2; HVEB; PRR2; CD112
7121,ILMN_1718354,1,210181762,210181788,C1orf73,INT7; C1orf73; DKFZP434B168
7122,ILMN_1718365,19,34881634,34898292,C19orf12,MGC10922; DKFZP762D096
7123,ILMN_1718387,1,151498803,151501224,LOR,MGC111513
7124,ILMN_1718395,1,150818485,150819604,LCE3D,SPRL6B; MGC126833; LEP16; SPRL6A
7126,ILMN_1718420,1,151035851,151037281,LCE1D,LEP4
7131,ILMN_1718514,19,48098080,48113883,PSG6,PSG10
7140,ILMN_1718603,19,15587029,15601448,CYP4F8,CPF8; CYPIVF8
7143,ILMN_1718619,1,226648004,226661140,TRIM11,RNF92; BIA1
7145,ILMN_1718629,21,15255427,15359192,NRIP1,RIP140
7155,ILMN_1718731,19,56138373,56148156,KLK5,KLKL2; KLK-L2; SCTE
7159,ILMN_1718769,21,33936576,34184448,ITSN1,SH3P17; MGC134949; MGC134948; SH3D1A; ITSN
7160,ILMN_1718770,19,53908131,53908180,FLJ36070,MGC117259
7161,ILMN_1718771,1,44229867,44234783,CCDC24,RP5-1198O20.2; MGC45441
7162,ILMN_1718783,1,26220858,26235537,EXTL1,EXTL
7165,ILMN_1718813,1,26376590,26388957,CNKSR1,CNK; KSR; CNK1
7166,ILMN_1718815,15,56958537,57013144,SLTM,DKFZp762G052; FLJ13213; Met; FLJ10005
7167,ILMN_1718830,15,58499100,58558636,NARG2,BRCC1
7168,ILMN_1718831,1,25630006,25698515,TMEM57,FLJ10747; FLJ23007
7169,ILMN_1718832,1,227506752,227507871,SPHAR,RP4-803J11.4; MGC88280
7174,ILMN_1718884,1,39322426,39725376,MACF1,KIAA0465; FLJ45612; ACF7; ABP620; KIAA1251; OFC4; MACF; FLJ46776
7175,ILMN_1718896,1,203278963,203313759,CNTN2,TAG-1; TAX; DKFZp781D102; TAX1; MGC157722; FLJ42746; AXT
7180,ILMN_1718924,15,74295646,74390865,ETFA,GA2; MADD; EMA
7186,ILMN_1718950,19,11986532,12007525,ZNF433,FLJ40981
7190,ILMN_1718977,19,2427135,2429257,GADD45B,MYD118; DKFZP566B133; GADD45BETA
7200,ILMN_1719089,1,240078158,240119670,EXO1,HEX1; hExoI
7203,ILMN_1719105,21,30910621,30910874,KRTAP20-1,KAP20.1
7204,ILMN_1719123,19,53016911,53038393,CRX,CRD; CORD2
7207,ILMN_1719163,19,7020471,7038979,ZNF557,MGC4054
7210,ILMN_1719178,1,6246920,6376413,ACOT7,hBACH; LACH1; RP1-120G22.10; MGC1126; LACH; BACH; ACH1; ACT; CTE-II
7211,ILMN_1719190,19,52451632,52467048,CCDC9,DKFZP586M1019
7215,ILMN_1719203,1,229829184,230243637,DISC1,SCZD9; KIAA0457
7216,ILMN_1719204,19,59310649,59326952,PRPF31,PRP31; RP11; DKFZp566J153; NY-BR-99
7217,ILMN_1719205,19,45016938,45028848,FBL,RNU3IP1; FLRN; FIB
7218,ILMN_1719206,1,234624303,234714631,EDARADD,
7219,ILMN_1719219,19,57309466,57335003,ZNF616,MGC45556
7230,ILMN_1719309,1,100386997,100416359,LRRC39,MGC14816; DKFZp313O1122
7231,ILMN_1719316,15,77390540,77402237,TMED3,MGC133022; C15orf22; P24B
7232,ILMN_1719343,1,222639728,222688624,WDR26,FLJ21016; MIP2; CDW2
7234,ILMN_1719392,1,239727526,239749677,FH,MCUL1; MCL; HLRCC; LRCC
7235,ILMN_1719403,1,153445114,153450246,MTX1,MTXN; MTX
7236,ILMN_1719433,1,156416361,156422838,CD1D,
7240,ILMN_1719498,1,92268146,92301672,ABHD7,FLJ90341; EPHXRP
7241,ILMN_1719517,1,112740383,112803737,CTTNBP2NL,DKFZp547A023; FLJ13278
7248,ILMN_1719581,1,24255112,24311252,MYOM3,RP11-293P20.1; MGC71483; FLJ35961
7252,ILMN_1719627,1,152013454,152019257,SLC27A3,VLCS-3; ACSVL3; MGC4365; FATP3
7254,ILMN_1719646,19,62787322,62795570,ZIK1,
7255,ILMN_1719649,1,224099863,224136671,TMEM63A,KIAA0489; KIAA0792; RP4-559A3.1
7257,ILMN_1719660,1,28134091,28158249,SMPDL3B,ASML3B
7260,ILMN_1719677,1,46845974,46855150,MOBKL2C,MOB3C; MGC26743
7264,ILMN_1719755,19,8036287,8118650,FBN3,KIAA1776
7266,ILMN_1719763,19,12647482,12647486,MORG1,MGC4238
7268,ILMN_1719797,15,79055150,79069260,MESDC2,KIAA0081; BOCA; MESD
7271,ILMN_1719826,21,13973740,13973781,LOC441956,
7272,ILMN_1719835,1,36656095,36688639,C1orf102,NOR1; MGC26685; OSCP1
7275,ILMN_1719883,19,15884181,15906676,CYP4F11,
7278,ILMN_1719934,1,47654331,47656310,FOXE3,FREAC8; FKHL12; ASMD
7281,ILMN_1719985,19,4742728,4746571,FEM1A,DKFZp762M136; EPRAP
7283,ILMN_1719993,15,80517494,80517543,LOC440295,
7291,ILMN_1720083,15,39978933,40052038,EHD4,PAST4
7293,ILMN_1720093,19,7602509,7604636,PCP2,FLJ27345; DKFZp686M0187; MGC41903; L7; GPSM4
7296,ILMN_1720124,1,17605866,17638807,RCC2,DKFZp762N0610; KIAA1470; TD-60
7298,ILMN_1720158,21,39099101,39118749,ETS2,
7313,ILMN_1720344,15,20556790,20585849,NIPA2,MGC5466
7319,ILMN_1720431,19,42261177,42313052,ZNF420,FLJ32191
7334,ILMN_1720531,19,4920132,5104606,JMJD2B,KIAA0876; FLJ44906
7336,ILMN_1720542,19,41296452,41298046,POLR2I,hRPB14.5; RPB9
7340,ILMN_1720617,1,246617533,246618459,OR2T6,OR2T9; OST703; OR2T6P
7353,ILMN_1720799,19,14501382,14537791,GPSN2,TER; SC2
7354,ILMN_1720829,19,44589293,44591853,ZFP36,NUP475; GOS24; TIS11; TTP; G0S24; RNF162A
7357,ILMN_1720844,1,84881978,84928816,SSX2IP,KIAA0923; MGC75026; FLJ10848; ADIP
7372,ILMN_1720998,15,61402784,61461128,CA12,CAXII; FLJ20151; HsT18816
7373,ILMN_1721008,15,46410913,46422862,DUT,dUTPase
7375,ILMN_1721022,1,153201398,153213476,SHC1,p66; SHC; p66SHC; SHCA; FLJ26504; p52SHC
7380,ILMN_1721034,19,49408524,49433260,ZNF227,
7393,ILMN_1721132,19,54558854,54570183,DKKL1,SGY; SGY-1; SGY1
7401,ILMN_1721241,19,53674246,53674279,PSCD2,CTS18; PSCD2L; Sec7p-L; ARNO; CTS18.1; SEC7L; Sec7p-like
7404,ILMN_1721283,19,40937336,40939799,HSPB6,FLJ32389; Hsp20
7407,ILMN_1721333,19,62434240,62438727,AURKC,AIE2; STK13; aurora-C; AIK3; AurC
